,description,finished,has_items,item_types,maximum_depth,number_of_dependents,sample_id,sample_name,target_depths,targets
0,"{""level"": ""3"", ""design"": ""g2"", ""total"": 3}",False,False,[],2,2,27518,CEN.PK2 - MAT A ::: pMOD4G-dcas9-mxi1 | pMOD-HOKan-pGRR-W20-RGR-W34 | pMOD6-leu-pGRR-W5W34-RGR-W20 | pMOD6-pGRR-W20-RGR-W5,[2],[27544]
1,"{""a_strains"": [27518, 27517, 27515, 27514, 27512, 27511, 27500, 27498, 27419, 27417, 27403]}",True,True,"['Yeast Glycerol Stock', 'Yeast Plate']",2,12,27543,CEN.PK2 - MAT alpha ::: pMODKan-HO-pACT1-ZEV4 | pMOD8-pGALZ4-URGR-W20 | pMOD6-pGRR-W34-yeGFP,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[27544, 27545, 27546, 27547, 27548, 27549, 27550, 27551, 27552, 27553, 27554]"
2,"{""level"": ""3"", ""design"": ""g2"", ""total"": 3}",False,False,[],2,2,27517,CEN.PK2 - MAT A ::: pMOD4G-dcas9-mxi1 | pMOD-HOKan-pGRR-W20-RGR-W34 | pMOD6-leu-pGRR-W5W34-RGR-W20 | pMOD8-pGRR-W20-RGR-W5,[2],[27545]
3,"{""level"": ""3"", ""design"": ""g2"", ""total"": 3}",False,False,[],2,2,27515,CEN.PK2 - MAT A ::: pMOD4G-dcas9-mxi1 | pMOD-LTR1-Nat-pGRR-W20-RGR-W34 | pMOD6-leu-pGRR-W5W34-RGR-W20 | pMOD6-pGRR-W20-RGR-W5,[2],[27546]
4,"{""level"": ""3"", ""design"": ""g2"", ""total"": 3}",False,False,[],2,2,27514,CEN.PK2 - MAT A ::: pMOD4G-dcas9-mxi1 | pMOD-LTR1-Nat-pGRR-W20-RGR-W34 | pMOD6-leu-pGRR-W5W34-RGR-W20 | pMOD8-pGRR-W20-RGR-W5,[2],[27547]
5,"{""level"": ""3"", ""design"": ""g2"", ""total"": 3}",False,False,[],2,2,27512,CEN.PK2 - MAT A ::: pMOD4G-dcas9-mxi1 | pMOD-LTR2-Bleo-pGRR-W20-RGR-W34 | pMOD6-leu-pGRR-W5W34-RGR-W20 | pMOD6-pGRR-W20-RGR-W5,[2],[27548]
6,"{""level"": ""3"", ""design"": ""g2"", ""total"": 3}",False,False,[],2,2,27511,CEN.PK2 - MAT A ::: pMOD4G-dcas9-mxi1 | pMOD-LTR2-Bleo-pGRR-W20-RGR-W34 | pMOD6-leu-pGRR-W5W34-RGR-W20 | pMOD8-pGRR-W20-RGR-W5,[2],[27549]
7,"{""level"": ""3"", ""design"": ""g2"", ""total"": 3}",False,False,[],2,2,27500,CEN.PK2 - MAT A ::: pMOD4G-dcas9-mxi1 | pMOD-HOKan-pGRR-W20-RGR-W34 | pMOD-LTR2-Bleo-pGRR-W20-RGR-W5 | pMOD6-leu-pGRR-W5W34-RGR-W20,[2],[27550]
8,"{""level"": ""3"", ""design"": ""g2"", ""total"": 3}",False,False,[],2,2,27498,CEN.PK2 - MAT A ::: pMOD4G-dcas9-mxi1 | pMOD-LTR1-Nat-pGRR-W20-RGR-W34 | pMOD-LTR2-Bleo-pGRR-W20-RGR-W5 | pMOD6-leu-pGRR-W5W34-RGR-W20,[2],[27551]
9,"{""level"": ""3"", ""design"": ""g2"", ""total"": 3}",False,False,[],2,2,27419,CEN.PK2 - MAT A ::: pMOD4G-dcas9-mxi1 | pMOD-HOKan-pGRR-W20-RGR-W34 | pMOD-LTR2-Bleo-pGRR-W20W8-RGR-W5 | pMOD6-leu-pGRR-W5W34-RGR-W20,[2],[27552]
